6962, 7361, 8295, 8343, 8359, 8437, 8499, 8500, 8737, 8858, 8937, 9013, 9208, 9348, 9375, 9798, 9838, 9876, 10077, 10127, 
8522, 8981, 9328, 9670, 9714, 9777, 9841, 9855, 9889, 9939, 10041, 10083, 10138, 10171, 10351, 10473, 10542, 10857, 11163, 11318, 
8739, 9665, 10136, 10848, 10853, 11259, 11292, 11312, 11443, 11455, 11488, 11565, 11624, 11678, 11705, 11758, 11947, 11967, 12043, 12121, 
2900, 3333, 3594, 3912, 4002, 4034, 4101, 4379, 4405, 4456, 4517, 4589, 4622, 4657, 4742, 4877, 5024, 5129, 5424, 5452, 
3366, 4246, 5215, 5304, 5331, 5376, 5416, 5555, 5682, 5773, 5848, 5857, 5938, 5960, 6070, 6126, 6286, 6309, 6588, 6610, 
5133, 5195, 5846, 5971, 6283, 6321, 6474, 6510, 6584, 6639, 6660, 6870, 6910, 6955, 7044, 7353, 7594, 7792, 7840, 8118, 
5551, 5729, 6324, 6505, 7350, 7686, 7781, 7950, 7995, 8044, 8119, 8228, 8270, 8281, 8340, 8367, 8443, 8731, 8866, 8931, 
6962, 7361, 8295, 8343, 8359, 8437, 8499, 8500, 8737, 8858, 8937, 9013, 9208, 9348, 9375, 9798, 9838, 9876, 10077, 10127, 
8522, 8981, 9328, 9670, 9714, 9777, 9841, 9855, 9889, 9939, 10041, 10083, 10138, 10171, 10351, 10473, 10542, 10857, 11163, 11318, 
16895, 17143, 17982, 18315, 18499, 18575, 18743, 18841, 18934, 19021, 19076, 19106, 19137, 19262, 19363, 19403, 19735, 19911, 19944, 20212, 
17986, 18317, 19224, 19255, 19368, 19408, 19478, 19588, 19609, 19653, 19696, 19726, 19824, 19913, 19945, 20009, 20214, 20311, 20463, 20886, 
18930, 19272, 19922, 20220, 20282, 20304, 20474, 20653, 20855, 20880, 20934, 21032, 21204, 21232, 21253, 21408, 21458, 21509, 21752, 21968, 
12279, 12709, 12892, 12928, 12953, 13355, 13717, 13841, 13896, 14046, 14110, 14132, 14215, 14387, 14532, 14621, 14694, 14716, 14949, 15311, 
13840, 14907, 14942, 15149, 15323, 15534, 15687, 15704, 15778, 15810, 15826, 15909, 15956, 16122, 16129, 16215, 16458, 16522, 16540, 16566, 
14901, 15135, 15803, 15921, 16142, 16217, 16295, 16375, 16462, 16519, 16528, 16564, 16719, 16763, 16875, 16939, 16959, 17574, 17620, 17646, 
15148, 15320, 16996, 17061, 17146, 17166, 17197, 17210, 17305, 17368, 17571, 17588, 17622, 17835, 17929, 17990, 18165, 18316, 18492, 18582, 
16895, 17143, 17982, 18315, 18499, 18575, 18743, 18841, 18934, 19021, 19076, 19106, 19137, 19262, 19363, 19403, 19735, 19911, 19944, 20212, 
17986, 18317, 19224, 19255, 19368, 19408, 19478, 19588, 19609, 19653, 19696, 19726, 19824, 19913, 19945, 20009, 20214, 20311, 20463, 20886, 
